industry_id,display_name_cn,sw_code,board_name,board_code,board_rank,board_pct_change,board_leader,stock_code,stock_name,latest_price,pct_change,turnover_amount,turnover_rate,representative_score,is_board_leader,candidate_rank
sw_l1_801120,食品饮料,801120.SI,食品饮料,BK0438,99,-0.4,紫燕食品,603057,紫燕食品,26.93,7.68,182099109.0,1.68,0.821951,True,4
sw_l1_801120,食品饮料,801120.SI,食品饮料,BK0438,99,-0.4,紫燕食品,000995,皇台酒业,13.53,-3.29,342741460.76,14.08,0.80813,False,5
sw_l1_801130,纺织服饰,801130.SI,纺织服饰,BK0436,232,-1.47,迎丰股份,605055,迎丰股份,10.65,5.76,155855399.0,3.4,0.9,True,1
sw_l1_801130,纺织服饰,801130.SI,纺织服饰,BK0436,232,-1.47,迎丰股份,002083,孚日股份,12.44,-3.94,1035240904.73,8.8,0.894175,False,2
sw_l1_801130,纺织服饰,801130.SI,纺织服饰,BK0436,232,-1.47,迎丰股份,300005,探路者,14.32,-4.09,495731467.34,3.89,0.878641,False,3
sw_l1_801130,纺织服饰,801130.SI,纺织服饰,BK0436,232,-1.47,迎丰股份,002269,美邦服饰,1.75,-4.89,347134545.25,7.85,0.874757,False,4
sw_l1_801130,纺织服饰,801130.SI,纺织服饰,BK0436,232,-1.47,迎丰股份,300819,聚杰微纤,42.0,-3.51,238264014.0,4.18,0.847573,False,5
sw_l1_801140,轻工制造,801140.SI,轻工制造,BK1212,193,-1.27,松炀资源,603863,松炀资源,17.25,10.01,245574060.0,7.11,0.929268,True,1
sw_l1_801140,轻工制造,801140.SI,轻工制造,BK1212,193,-1.27,松炀资源,002565,顺灏股份,16.2,-2.99,2786910206.44,16.01,0.882622,False,2
sw_l1_801140,轻工制造,801140.SI,轻工制造,BK1212,193,-1.27,松炀资源,605299,舒华体育,22.94,6.2,1364229331.0,14.87,0.880488,False,3
sw_l1_801140,轻工制造,801140.SI,轻工制造,BK1212,193,-1.27,松炀资源,002969,嘉美包装,21.53,-7.4,1467538322.64,6.11,0.878659,False,4
sw_l1_801140,轻工制造,801140.SI,轻工制造,BK1212,193,-1.27,松炀资源,002229,鸿博股份,17.32,-5.72,914895580.63,10.51,0.87439,False,5
